Timestamp,Date,Symbol,Mode,Side,EntryPrice,ClosePrice,Qty,PnL_USDT,Strategy,Regime,Reason
1773101274011,2026-03-10 00:07:54,FLOW_USDT,PAPER,BUY,0.0508,0.0512,149523.7573,59.81,LiquiditySweepStrategy,high_volatility,MANUAL
1773125400542,2026-03-10 06:50:00,SOL_USDT,PAPER,BUY,86.5900,86.2407,115.4868,-40.34,BreakoutStrategy,range,SL
1773126602881,2026-03-10 07:10:02,FLOW_USDT,PAPER,SELL,0.0602,0.0597,80791.1320,40.00,LiquiditySweepStrategy,high_volatility,SL
1773133200317,2026-03-10 09:00:00,FLOW_USDT,PAPER,SELL,0.0617,0.0641,82547.6776,-200.00,LiquiditySweepStrategy,high_volatility,SL
1773137701513,2026-03-10 10:15:01,FLOW_USDT,PAPER,SELL,0.0674,0.0698,82429.5418,-200.00,LiquiditySweepStrategy,high_volatility,SL
1773161700840,2026-03-10 16:55:00,FLOW_USDT,PAPER,SELL,0.0717,0.0735,110421.3199,-200.00,LiquiditySweepStrategy,high_volatility,SL
1773167003928,2026-03-10 18:23:23,FLOW_USDT,PAPER,SELL,0.0727,0.0680,64042.6816,298.44,LiquiditySweepStrategy,high_volatility,MANUAL
1773195608374,2026-03-11 02:20:08,VVV_USDT,PAPER,SELL,5.5320,5.6040,1807.6645,-130.09,TrendPullbackStrategy,weak_trend,SL
1773198005825,2026-03-11 03:00:05,VVV_USDT,PAPER,BUY,5.5310,5.4739,1807.9913,-103.28,LiquiditySweepStrategy,high_volatility,SL
1773199801481,2026-03-11 03:30:01,HYPE_USDT,PAPER,BUY,34.4210,34.2537,290.5203,-48.62,TrendPullbackStrategy,weak_trend,SL
1773201901229,2026-03-11 04:05:01,FLOW_USDT,PAPER,BUY,0.0621,0.0604,121399.1869,-200.00,LiquiditySweepStrategy,high_volatility,SL
1773205200688,2026-03-11 05:00:00,HYPE_USDT,PAPER,BUY,34.3750,34.6747,290.9091,87.19,TrendPullbackStrategy,strong_trend,TP
1773207607522,2026-03-11 05:40:07,VVV_USDT,PAPER,BUY,5.2340,5.1893,1910.5846,-85.35,LiquiditySweepStrategy,high_volatility,SL
1773207900765,2026-03-11 05:45:00,SOL_USDT,PAPER,SELL,86.6300,85.7693,115.4335,99.35,TrendPullbackStrategy,weak_trend,TP
1773209400711,2026-03-11 06:10:00,FLOW_USDT,PAPER,SELL,0.0654,0.0634,152928.5824,306.26,LiquiditySweepStrategy,high_volatility,TP
1773210001880,2026-03-11 06:20:01,HYPE_USDT,PAPER,BUY,34.6230,34.4397,288.8253,-52.94,TrendPullbackStrategy,weak_trend,SL
1773211504629,2026-03-11 06:45:04,HYPE_USDT,PAPER,BUY,34.5250,34.8731,289.6452,100.84,TrendPullbackStrategy,weak_trend,TP
1773214800405,2026-03-11 07:40:00,HYPE_USDT,PAPER,BUY,34.6070,34.4182,288.9589,-54.54,BreakoutStrategy,range,SL
1773217210093,2026-03-11 08:20:10,FLOW_USDT,PAPER,BUY,0.0612,0.0602,163345.3120,-162.43,LiquiditySweepStrategy,high_volatility,SL
1773219900659,2026-03-11 09:05:00,FLOW_USDT,PAPER,BUY,0.0595,0.0586,168038.9850,-158.75,LiquiditySweepStrategy,high_volatility,SL
1773221702663,2026-03-11 09:35:02,HYPE_USDT,PAPER,BUY,34.3640,34.3957,291.0022,9.22,BreakoutStrategy,range,SL
1773223209184,2026-03-11 10:00:09,FLOW_USDT,PAPER,BUY,0.0579,0.0581,172681.7475,28.73,LiquiditySweepStrategy,high_volatility,SL
1773227707085,2026-03-11 11:15:07,FLOW_USDT,PAPER,BUY,0.0573,0.0566,174367.9163,-136.95,LiquiditySweepStrategy,high_volatility,SL
1773229201582,2026-03-11 11:40:01,HYPE_USDT,PAPER,SELL,34.8140,34.9980,287.2408,-52.85,LiquiditySweepStrategy,high_volatility,SL
1773234600509,2026-03-11 13:10:00,HYPE_USDT,PAPER,SELL,35.5080,35.9623,281.6267,-127.95,LiquiditySweepStrategy,high_volatility,SL
1773234900418,2026-03-11 13:15:00,VVV_USDT,PAPER,SELL,5.4280,5.4815,1842.2992,-98.62,LiquiditySweepStrategy,high_volatility,SL
1773235200325,2026-03-11 13:20:00,HYPE_USDT,PAPER,SELL,36.0240,36.3098,277.5927,-79.34,LiquiditySweepStrategy,high_volatility,SL
1773236100373,2026-03-11 13:35:00,SOL_USDT,PAPER,SELL,86.1200,86.5674,116.1170,-51.95,LiquiditySweepStrategy,high_volatility,SL
1773236107448,2026-03-11 13:35:07,VVV_USDT,PAPER,SELL,5.5000,5.5504,1818.1818,-91.70,LiquiditySweepStrategy,high_volatility,SL
